,Date,Price,Open,High,Low,Vol.,Change %
1414,07/30/2004,111.46,112.0,112.25,111.05,,-0.54%
1415,07/29/2004,112.07,111.68,112.5,111.46,,0.35%
1416,07/28/2004,111.68,110.9,111.91,110.74,,0.69%
1417,07/27/2004,110.91,109.91,111.22,109.59,,0.85%
1418,07/26/2004,109.97,110.16,110.19,109.4,,-0.18%
1419,07/23/2004,110.17,109.72,110.3,109.61,,0.36%
1420,07/22/2004,109.78,109.76,109.97,109.24,,0.00%
1421,07/21/2004,109.78,108.53,110.33,108.35,,1.07%
1422,07/20/2004,108.62,108.22,108.83,108.07,,0.32%
1423,07/19/2004,108.27,108.79,108.84,108.07,,-0.42%
1424,07/16/2004,108.73,109.8,110.04,108.53,,-0.96%
1425,07/15/2004,109.78,109.15,110.01,108.99,,0.56%
1426,07/14/2004,109.17,108.52,109.47,108.36,,0.51%
1427,07/13/2004,108.62,108.23,109.41,108.16,,0.37%
1428,07/12/2004,108.22,108.12,108.44,107.53,,0.02%
1429,07/09/2004,108.2,108.95,108.97,107.92,,-0.68%
1430,07/08/2004,108.94,108.63,109.19,108.35,,0.26%
1431,07/07/2004,108.66,109.45,109.53,108.17,,-0.71%
1432,07/06/2004,109.44,109.15,109.73,108.83,,0.32%
1433,07/05/2004,109.09,108.37,109.21,108.23,,0.75%
1434,07/02/2004,108.28,108.41,109.37,108.02,,-0.04%
1435,07/01/2004,108.32,108.81,108.91,107.81,,-0.51%
1436,06/30/2004,108.88,108.21,109.6,108.16,,0.61%
1437,06/29/2004,108.22,107.91,108.78,107.75,,0.30%
1438,06/28/2004,107.9,107.52,108.37,107.4,,0.25%
1439,06/25/2004,107.63,107.08,108.04,107.02,,0.46%
1440,06/24/2004,107.14,108.46,108.54,106.99,,-1.25%
1441,06/23/2004,108.5,109.06,109.22,108.4,,-0.67%
1442,06/22/2004,109.23,108.86,109.43,108.33,,0.30%
1443,06/21/2004,108.9,108.65,108.97,108.21,,0.14%
1444,06/18/2004,108.75,109.5,109.75,108.52,,-0.66%
1445,06/17/2004,109.47,109.99,110.23,108.86,,-0.54%
1446,06/16/2004,110.06,109.44,110.26,109.2,,0.48%
1447,06/15/2004,109.53,110.97,111.41,109.26,,-1.36%
1448,06/14/2004,111.04,110.38,111.47,110.0,,0.80%
1449,06/11/2004,110.16,109.32,110.51,109.15,,0.83%
1450,06/10/2004,109.25,110.19,110.53,109.11,,-0.92%
1451,06/09/2004,110.27,109.69,110.58,108.64,,0.55%
1452,06/08/2004,109.67,109.55,110.14,109.46,,0.07%
1453,06/07/2004,109.59,110.88,111.03,109.44,,-1.53%
1454,06/04/2004,111.29,111.03,112.02,110.19,,0.24%
1455,06/03/2004,111.02,109.99,111.58,109.77,,0.90%
